Date,Open,High,Low,Close,Volume
3-Jan-11,46.52,47.18,46.41,47.08,111280407
4-Jan-11,47.49,47.5,46.88,47.33,77337001
5-Jan-11,47.08,47.76,47.07,47.71,63879193
6-Jan-11,47.82,47.89,47.56,47.68,75106626
7-Jan-11,47.71,48.05,47.41,48.02,77982212
10-Jan-11,48.4,49.03,48.17,48.92,112139482
11-Jan-11,49.27,49.28,48.5,48.81,111019993
12-Jan-11,49.04,49.2,48.86,49.2,75644310
13-Jan-11,49.31,49.52,49.12,49.38,74536182
14-Jan-11,49.41,49.78,49.21,49.78,77209748
18-Jan-11,47.07,49.25,46.57,48.66,470246700
19-Jan-11,49.76,49.8,48.13,48.41,283902199
20-Jan-11,48.06,48.33,47.16,47.53,191197293
21-Jan-11,47.68,47.84,46.66,46.67,188599712
24-Jan-11,46.7,48.21,46.67,48.21,143670548
25-Jan-11,48.05,48.78,47.8,48.77,136716650
26-Jan-11,48.99,49.37,48.79,49.12,126716779
27-Jan-11,49.11,49.24,48.98,49.03,71255961
28-Jan-11,49.17,49.2,47.65,48.01,148014146
31-Jan-11,47.97,48.58,47.76,48.47,94311602
1-Feb-11,48.76,49.38,48.71,49.29,106657943
2-Feb-11,49.21,49.32,49.08,49.19,64738807
3-Feb-11,49.11,49.18,48.36,49.06,98449148
4-Feb-11,49.09,49.53,49.07,49.5,80459575
7-Feb-11,49.7,50.46,49.66,50.27,121254910
8-Feb-11,50.53,50.79,50.31,50.74,95259906
9-Feb-11,50.74,51.29,50.7,51.17,120686090
10-Feb-11,51.06,51.43,49.71,50.65,232137360
11-Feb-11,50.68,51.11,50.51,50.98,91892948
14-Feb-11,50.97,51.35,50.96,51.31,77603491
15-Feb-11,51.31,51.42,51.08,51.41,71043441
16-Feb-11,51.54,52.13,51.5,51.88,120288833
17-Feb-11,51.04,51.47,50.93,51.19,132643504
18-Feb-11,51.24,51.36,49.93,50.08,204011724
22-Feb-11,48.88,49.34,48.25,48.37,218135561
23-Feb-11,48.4,49.23,48.37,48.95,167962942
24-Feb-11,49.15,49.31,48.34,48.98,124974514
25-Feb-11,49.32,49.78,49.26,49.74,95004483
28-Feb-11,50.18,50.72,50.16,50.46,100768479
1-Mar-11,50.78,50.82,49.67,49.9,114032163
2-Mar-11,49.99,50.62,49.77,50.3,150647189
3-Mar-11,51.03,51.4,50.85,51.37,125196764
4-Mar-11,51.44,51.47,51.11,51.43,113316483
7-Mar-11,51.63,51.67,50.19,50.77,136530149
8-Mar-11,50.7,51.06,50.32,50.82,89078955
9-Mar-11,50.67,50.68,50.09,50.35,113349033
10-Mar-11,49.87,49.97,49.27,49.52,126972055
11-Mar-11,49.33,50.33,49.29,50.28,117770016
14-Mar-11,50.45,50.93,50.19,50.51,109113690
15-Mar-11,48.87,49.69,48.59,49.35,180262334
16-Mar-11,48.86,49.0,46.61,47.14,289187626
17-Mar-11,48.12,48.52,47.24,47.81,164854977
18-Mar-11,48.16,48.31,47.14,47.24,188302604
21-Mar-11,48.0,48.53,47.89,48.47,102347560
22-Mar-11,48.94,48.95,48.45,48.74,81558162
23-Mar-11,48.47,48.6,47.99,48.46,93248498
24-Mar-11,48.84,49.43,48.41,49.28,101177720
25-Mar-11,49.72,50.29,49.57,50.22,112292796
28-Mar-11,50.45,50.62,50.06,50.06,77337407
29-Mar-11,49.67,50.14,49.44,50.14,88224955
30-Mar-11,50.09,50.13,49.63,49.8,82351269
31-Mar-11,49.48,49.97,49.44,49.79,68592006
1-Apr-11,50.16,50.23,49.04,49.22,104665400
4-Apr-11,49.19,49.23,48.34,48.74,115020542
5-Apr-11,48.14,48.89,48.0,48.41,120740809
6-Apr-11,48.75,49.13,48.16,48.29,100634681
7-Apr-11,48.3,48.63,48.0,48.3,93361520
8-Apr-11,48.56,48.59,47.71,47.87,94383317
11-Apr-11,47.72,47.95,47.15,47.26,99787618
12-Apr-11,47.21,47.68,47.17,47.49,106627080
13-Apr-11,47.86,48.02,47.5,48.02,86608963
14-Apr-11,47.83,48.0,47.44,47.49,75497401
15-Apr-11,47.61,47.66,46.69,46.78,113458247
18-Apr-11,46.59,47.46,45.74,47.41,152474427
19-Apr-11,47.59,48.28,47.39,48.27,104844243
20-Apr-11,49.07,49.39,48.79,48.92,175163842
21-Apr-11,50.71,50.73,49.79,50.1,188449618
25-Apr-11,50.05,50.54,50.04,50.43,66636290
26-Apr-11,50.52,50.71,49.91,50.06,84400645
27-Apr-11,50.32,50.34,49.59,50.02,89052887
28-Apr-11,49.46,49.96,49.36,49.54,90297123
29-Apr-11,49.54,50.56,49.52,50.02,251585929
2-May-11,49.96,50.07,49.36,49.47,110678246
3-May-11,49.71,49.98,49.37,49.74,78390249
4-May-11,49.75,50.26,49.55,49.94,97312229
5-May-11,49.77,50.14,49.44,49.54,84065352
6-May-11,49.96,50.0,49.46,49.52,70061285
9-May-11,49.69,49.89,49.5,49.66,51188151
10-May-11,49.84,49.96,49.52,49.92,70521969
11-May-11,49.86,50.0,49.32,49.6,84018683
12-May-11,49.45,49.59,48.9,49.51,80239593
13-May-11,49.38,49.46,48.62,48.64,81547956
16-May-11,48.46,48.75,47.51,47.61,112535374
17-May-11,47.43,48.02,47.25,48.02,113196657
18-May-11,48.07,48.72,48.0,48.55,83693267
19-May-11,48.87,48.92,48.38,48.65,65291310
20-May-11,48.51,48.71,47.86,47.89,84547708
23-May-11,47.14,48.0,47.06,47.77,95627217
24-May-11,47.93,47.99,47.33,47.46,80520650
25-May-11,47.63,48.37,47.55,48.11,73555433
26-May-11,48.0,48.13,47.78,47.86,55673751
27-May-11,47.83,48.23,47.76,48.2,50912897
31-May-11,48.73,49.69,48.71,49.69,104434134
1-Jun-11,49.84,50.3,49.24,49.36,138670602
2-Jun-11,49.5,49.71,49.19,49.44,84721112
3-Jun-11,49.03,49.33,48.86,49.06,78360765
6-Jun-11,49.42,49.58,48.26,48.29,115484677
7-Jun-11,48.31,48.32,47.41,47.43,132493060
8-Jun-11,47.4,47.83,47.24,47.46,83471577
9-Jun-11,47.61,47.67,47.25,47.36,68841199
10-Jun-11,47.22,47.38,46.5,46.56,108529400
13-Jun-11,46.74,46.9,46.44,46.66,82414108
14-Jun-11,47.14,47.61,47.04,47.49,83641901
15-Jun-11,47.11,47.19,46.41,46.68,99851885
16-Jun-11,46.7,46.95,45.48,46.45,127647338
17-Jun-11,47.0,47.04,45.62,45.75,153872649
20-Jun-11,45.34,45.39,44.36,45.05,160161274
21-Jun-11,45.24,46.54,45.03,46.47,123343514
22-Jun-11,46.45,46.99,46.05,46.09,97645436
23-Jun-11,45.56,47.38,45.45,47.32,139939254
24-Jun-11,47.34,47.59,46.44,46.62,109981312
27-Jun-11,46.8,47.7,46.75,47.43,84989933
28-Jun-11,47.66,48.1,47.63,47.89,73574907
29-Jun-11,48.01,48.05,47.41,47.72,88179070
30-Jun-11,47.81,48.02,47.55,47.95,80807391
1-Jul-11,47.99,49.07,47.74,49.04,108828209
